,Year,Month,Province_group,Distance,Hospital_admission,Mode,Year-Month
552,2018,11.0,West,   10.35,0.0,Fun,201811.0
356,2018,11.0,East,    5.68,0.0,Walk,201811.0
352,2018,11.0,North,0,0.0,Walk,201811.0
364,2018,11.0,South,    7.97,0.0,Walk,201811.0
544,2018,11.0,North,   10.91,0.0,Fun,201811.0
740,2018,11.0,East,   24.08,0.0,Visit,201811.0
164,2018,11.0,East,   13.46,0.0,Total,201811.0
1120,2018,11.0,North,    5.26,0.0,Shop,201811.0
1124,2018,11.0,East,    5.63,0.0,Shop,201811.0
1128,2018,11.0,West,    5.00,0.0,Shop,201811.0
748,2018,11.0,South,   20.12,0.0,Visit,201811.0
744,2018,11.0,West,   20.95,0.0,Visit,201811.0
736,2018,11.0,North,0,0.0,Visit,201811.0
1132,2018,11.0,South,    5.57,0.0,Shop,201811.0
172,2018,11.0,South,   13.51,0.0,Total,201811.0
1312,2018,11,North,   21.62,0.0,Commute,201811.0
940,2018,11.0,South,   13.46,0.0,Edu,201811.0
928,2018,11.0,North,0,0.0,Edu,201811.0
160,2018,11.0,North,   13.76,0.0,Total,201811.0
936,2018,11.0,West,   11.08,0.0,Edu,201811.0
1316,2018,11,East,   16.80,0.0,Commute,201811.0
1320,2018,11,West,   18.65,0.0,Commute,201811.0
1324,2018,11,South,   18.61,0.0,Commute,201811.0
168,2018,11.0,West,   12.16,0.0,Total,201811.0
932,2018,11.0,East,   14.13,0.0,Edu,201811.0
1332,2018,12,East,   20.35,0.0,Commute,201812.0
956,2018,12.0,South,0,0.0,Edu,201812.0
952,2018,12.0,West,   11.06,0.0,Edu,201812.0
1328,2018,12,North,   17.41,0.0,Commute,201812.0
188,2018,12.0,South,   11.84,0.0,Total,201812.0
184,2018,12.0,West,   12.77,0.0,Total,201812.0
1336,2018,12,West,   17.97,0.0,Commute,201812.0
176,2018,12.0,North,   14.43,0.0,Total,201812.0
948,2018,12.0,East,   12.54,0.0,Edu,201812.0
180,2018,12.0,East,   12.57,0.0,Total,201812.0
1340,2018,12,South,   17.99,0.0,Commute,201812.0
944,2018,12.0,North,0,0.0,Edu,201812.0
560,2018,12.0,North,   16.76,0.0,Fun,201812.0
568,2018,12.0,West,    9.97,0.0,Fun,201812.0
376,2018,12.0,West,    8.19,0.0,Walk,201812.0
1140,2018,12.0,East,    6.76,0.0,Shop,201812.0
372,2018,12.0,East,    6.06,0.0,Walk,201812.0
1144,2018,12.0,West,    5.72,0.0,Shop,201812.0
752,2018,12.0,North,   22.19,0.0,Visit,201812.0
564,2018,12.0,East,   12.22,0.0,Fun,201812.0
756,2018,12.0,East,   18.47,0.0,Visit,201812.0
764,2018,12.0,South,   18.24,0.0,Visit,201812.0
572,2018,12.0,South,    8.81,0.0,Fun,201812.0
1136,2018,12.0,North,    9.99,0.0,Shop,201812.0
368,2018,12.0,North,0,0.0,Walk,201812.0
380,2018,12.0,South,0,0.0,Walk,201812.0
760,2018,12.0,West,   24.88,0.0,Visit,201812.0
1148,2018,12.0,South,    5.33,0.0,Shop,201812.0
393,2019,1.0,West,    9.99,0.0,Fun,201901.0
389,2019,1.0,East,   11.03,0.0,Fun,201901.0
1165,2019,1,South,   17.14,0.0,Commute,201901.0
961,2019,1.0,North,    8.21,0.0,Shop,201901.0
965,2019,1.0,East,    6.07,0.0,Shop,201901.0
5,2019,1.0,East,   14.47,0.0,Total,201901.0
969,2019,1.0,West,    4.67,0.0,Shop,201901.0
973,2019,1.0,South,    7.11,0.0,Shop,201901.0
397,2019,1.0,South,    9.67,0.0,Fun,201901.0
